n_components,variance_retained,best_iteration,nmad,mae,bias,eta_outliers_0.05,eta_outliers_0.15,train_time_s
300,0.9025298357009888,9054,0.0452510267496109,0.11202351003885269,0.0010376146528869867,31.1081471601645,4.625986439924419,361.5285222530365
800,0.9571326375007629,9532,0.045352231711149216,0.11242515593767166,0.0007627077866345644,31.26820051128154,4.661553851283761,2533.852106809616
1200,0.970579981803894,8354,0.0464351512491703,0.11420236527919769,0.0010429394897073507,31.983994664888293,4.80160053351117,3565.73747587204
