z_min,z_max,n_galaxias,sigma_nmad,bias,outliers_05_%,outliers_15_%
0.6000078320503235,0.6399798035621643,2546,0.002875522696925327,0.0005246633081696928,0.15710919088766695,0.03927729772191674
0.6399798035621643,0.6799517750740052,3084,0.0027579372961074114,-0.0009119900641962886,0.19455252918287938,0.03242542153047989
0.6799517750740052,0.7199237465858459,3182,0.002458112905640155,-0.001415870152413845,0.06285355122564425,0.0
0.7199237465858459,0.7598957180976867,3087,0.0027797703438671305,-0.0016997213242575526,0.22675736961451248,0.032393909944930355
0.7598957180976867,0.7998676896095276,2810,0.0030200167159549892,-0.002153739333152771,0.2846975088967972,0.03558718861209965
0.7998676896095276,0.8398396611213684,2095,0.003552982163149863,-0.002616145880892873,0.42959427207637235,0.0
0.8398396611213684,0.8798116326332093,1344,0.004574632860627025,-0.0026825943496078253,0.744047619047619,0.1488095238095238
0.8798116326332093,0.91978360414505,847,0.005346882449649274,-0.00334686110727489,0.9445100354191263,0.0
0.91978360414505,0.959755575656891,457,0.006501994397956877,-0.0032432591542601585,0.6564551422319475,0.0
0.959755575656891,0.9997275471687317,191,0.009047724625468254,-0.0074885147623717785,1.5706806282722512,0.0
