trial,score,best_epoch,val_mae,val_sigma,val_bias,val_eta_15,n_conv_blocks,n_dense_layers,n_units,kernel_size,dropout_rate,learning_rate,weight_decay,activation,batch_size
0,0.06453658640384674,5,0.06453658640384674,0.040990881621837616,0.02316662110388279,0.0,2,4,768,11,0.3098528437324805,0.0015930522616241021,0.0005093521419362401,elu,256
2,0.06905777007341385,1,0.06905777007341385,0.051804132759571075,0.005491250194609165,0.09582559741270887,4,4,384,15,0.19855307303338104,0.00011715937392307068,0.002459496283204652,elu,256
1,0.08387856185436249,1,0.08387856185436249,0.061627838760614395,-0.011647498235106468,0.9342995747739116,3,2,384,11,0.18682099526511076,0.0037183641805732083,9.539146722066813e-06,elu,256
