trial,score,best_epoch,val_mae,val_sigma,val_bias,val_eta_15,n_conv_blocks,n_dense_layers,n_units,kernel_size,dropout_rate,learning_rate,weight_decay,activation,batch_size,use_batchnorm
167,0.007974369451403618,35,0.007974369451403618,0.004196197725832462,-0.0002803381939884275,0.011978199676588608,3,4,1024,25,0.07474880416753435,0.0015317644371699321,0.0004782769024974778,swish,32,True
207,0.008623632602393627,26,0.008623632602393627,0.004284852650016546,0.0011575904209166765,0.0,3,4,448,25,0.21226409468807775,0.0027430698289317387,0.0018651172754936467,swish,32,True
86,0.008638279512524605,22,0.008638279512524605,0.004669626709073782,-0.00028608349384739995,0.029945499191471523,3,4,832,25,0.11051195768356077,0.0021316973966901544,0.0026536006541670568,swish,32,True
133,0.008651225827634335,30,0.008651225827634335,0.003213640069589019,0.0019835622515529394,0.06588009822123735,4,2,960,25,0.20957454711333778,0.0018745664382500437,0.0011839636756293976,swish,32,True
32,0.008699754253029823,38,0.008699754253029823,0.0047064474783837795,0.0002034908829955384,0.029945499191471523,4,3,960,25,0.2863962287994335,0.0009872892159104008,0.000547361453152227,swish,32,True
149,0.009165891446173191,32,0.009165891446173191,0.004911307245492935,0.0017395366448909044,0.005989099838294304,3,4,960,25,0.2598962107564669,0.0015444637700516677,0.0015673229679990935,swish,32,True
67,0.009248144924640656,24,0.009248144924640656,0.004830692429095507,-0.00019178379443474114,0.011978199676588608,3,3,704,25,0.17067000773125057,0.0011338719858378318,0.004974651419065247,swish,32,True
192,0.00927923247218132,33,0.00927923247218132,0.0043390365317463875,0.0022498564794659615,0.023956399353177216,3,4,1024,25,0.18601472218134565,0.00168218247958014,0.004353284633941523,swish,32,True
95,0.009281288832426071,40,0.009281288832426071,0.004767755977809429,-0.0013112726155668497,0.011978199676588608,3,4,896,25,0.17868644560425592,0.0012727500932935684,0.0005987741097472926,swish,32,True
211,0.009653267450630665,30,0.009653267450630665,0.005053665954619646,0.0005107239703647792,0.04791279870635443,3,4,896,25,0.20309886359258428,0.002569670794138721,0.001746926218716395,swish,32,True
27,0.009795259684324265,33,0.009795259684324265,0.004449619445949793,0.0036502378061413765,0.0,4,2,768,25,0.25867116416213726,0.002018857072572487,0.00016830544622436038,swish,32,True
103,0.009831922128796577,38,0.009831922128796577,0.004906924907118082,-0.00018908044148702174,0.017967299514882913,3,4,896,25,0.2888255197057451,0.001275272889500364,0.0010939599530892458,swish,32,True
23,0.010009783320128918,36,0.010009783320128918,0.005185721442103386,0.0018582964548841119,0.029945499191471523,3,3,896,25,0.26786206527368106,0.001991137766799934,0.00264088553096367,swish,32,True
