trial,score,best_epoch,val_mae,val_sigma,val_bias,val_eta_15,n_conv_blocks,n_dense_layers,n_units,kernel_size,dropout_rate,learning_rate,weight_decay,activation,batch_size
116,0.010598694905638695,25,0.010598694905638695,0.004871098790317774,-0.0012037076521664858,0.0,4,3,832,21,0.13703537658595544,0.0010942838336007775,0.00035884727025895966,swish,64
18,0.011243101209402084,17,0.011243101209402084,0.004450670909136534,0.0038815608713775873,0.023956399353177216,4,1,704,25,0.2312475648503598,0.0008670238875146414,0.00011995892069600924,swish,32
31,0.011954142712056637,24,0.011954142712056637,0.006205641198903322,-0.0012888351920992136,0.005989099838294304,4,2,704,25,0.08801944009877019,0.0008926162936024018,2.008794799148434e-05,swish,64
109,0.012580501846969128,25,0.012580501846969128,0.006097165867686272,-0.0037732196506112814,0.005989099838294304,4,2,768,25,0.14466580157759948,0.001361322546086259,3.6672847483991855e-05,swish,64
21,0.013105547055602074,19,0.013105547055602074,0.00666260439902544,-0.003793904324993491,0.0,4,2,640,25,0.16888336343768445,0.0008840546713121751,2.6670547057761013e-05,swish,32
33,0.013827459886670113,18,0.013827459886670113,0.007546871900558472,-0.0027672629803419113,0.011978199676588608,4,2,704,25,0.08999489515660743,0.0009412418087895797,3.888633327054565e-05,swish,64
14,0.014136863872408867,16,0.014136863872408867,0.0071587045677006245,0.0017033908516168594,0.005989099838294304,4,2,576,21,0.23090986555149132,0.0006592636807836471,1.950713090627699e-05,swish,32
107,0.01515998411923647,20,0.01515998411923647,0.007637978997081518,0.004503950942307711,0.011978199676588608,4,2,704,25,0.10591019172859484,0.000761848170978372,2.2762614372229086e-05,swish,64
17,0.015334087423980236,23,0.015334087423980236,0.007022748235613108,-0.0046110800467431545,0.005989099838294304,4,2,704,25,0.09029536641323577,0.0008228452801120299,1.8952710788009485e-05,swish,64
35,0.016129737719893456,21,0.016129737719893456,0.008438421413302422,-0.0026329115498811007,0.0,3,2,896,25,0.0508003883831844,0.001466183746290003,3.3469715071329495e-05,swish,64
26,0.016469864174723625,17,0.016469864174723625,0.007570825517177582,-0.005306772887706757,0.011978199676588608,3,2,640,25,0.21101278801246193,0.0006735495312050775,5.382034828719562e-06,swish,32
32,0.017570480704307556,17,0.017570480704307556,0.008801177144050598,0.0015284012770280242,0.017967299514882913,4,2,640,25,0.20123355554989886,0.0006204633310655826,2.098959672206929e-05,swish,64
30,0.017981883138418198,10,0.017981883138418198,0.007302733603864908,0.002612614305689931,0.21560759417859496,4,1,1024,25,0.306126920341996,0.0015133756222009227,1.1697442371557044e-05,elu,32
36,0.018112462013959885,17,0.018112462013959885,0.008376864716410637,-0.00205366313457489,0.011978199676588608,4,2,704,25,0.08325083124377439,0.0004936402238072779,0.00014799873324972365,elu,64
34,0.018201667815446854,15,0.018201667815446854,0.009817440994083881,-0.0029292309191077948,0.005989099838294304,4,3,768,25,0.09266634093598186,0.0010212334218026556,6.203989581380601e-05,elu,64
40,0.01914551667869091,15,0.01914551667869091,0.011458035558462143,0.0006469813524745405,0.017967299514882913,3,3,512,25,0.18654002608547934,0.001788584109982898,8.641201162882107e-06,relu,64
23,0.01929536648094654,15,0.01929536648094654,0.00967456866055727,0.005610674619674683,0.005989099838294304,3,2,640,25,0.21633621423577248,0.0006548166859647396,5.126109897207768e-05,swish,32
22,0.01958208903670311,17,0.01958208903670311,0.011284900829195976,0.002915585646405816,0.005989099838294304,4,1,704,25,0.1692588672973984,0.0009665733155463923,0.0002101778502717498,swish,32
24,0.019778193905949593,16,0.019778193905949593,0.010147654451429844,0.003256819909438491,0.035934599029765826,4,1,832,25,0.2520620287865816,0.001146756456745473,2.955981759549562e-05,swish,32
