trial,score,best_epoch,val_mae,val_sigma,val_bias,val_eta_15,n_conv_blocks,n_dense_layers,n_units,kernel_size,dropout_rate,learning_rate,weight_decay,activation,batch_size
23,0.01126182358711958,23,0.01126182358711958,0.005617348477244377,0.0008882796973921359,0.005989099838294304,3,3,192,25,0.17328424482955163,0.0007549941228473467,2.051707524608852e-06,swish,32
75,0.0128372423350811,18,0.0128372423350811,0.00698308227583766,-0.0006347164162434638,0.005989099838294304,4,3,256,21,0.141021557316803,0.004095388102694621,0.0011347528566771987,swish,32
16,0.01323067769408226,23,0.01323067769408226,0.006840780843049288,-0.0019448696402832866,0.04192369886806013,4,2,192,25,0.23879859980894463,0.00023230898414170666,7.074430882702519e-06,swish,32
62,0.013353049755096436,17,0.013353049755096436,0.006623063236474991,0.001728326198644936,0.011978199676588608,4,3,512,25,0.16916272290933868,0.0029268245473084253,0.0010882440515650467,swish,32
55,0.013396558351814747,8,0.013396558351814747,0.005834048148244619,0.0019885399378836155,0.005989099838294304,4,3,384,25,0.22635958089765013,0.004378376317663019,0.0018517597224967108,swish,32
28,0.01398067083209753,26,0.01398067083209753,0.007305831182748079,0.0031597991473972797,0.005989099838294304,3,2,384,21,0.16254566296410822,0.00028636470781892305,3.3860894068650154e-06,swish,32
70,0.015086461789906025,27,0.015086461789906025,0.007893715053796768,0.0030358985532075167,0.023956399353177216,4,1,192,25,0.1824409810865953,0.004202467497999873,0.0028208933575097476,swish,128
27,0.01561661995947361,23,0.01561661995947361,0.007460550870746374,0.0032459257636219263,0.011978199676588608,4,3,320,21,0.16455930586470083,0.0002939309559410491,4.029443171651457e-06,swish,32
17,0.015811733901500702,23,0.015811733901500702,0.008031733334064484,0.003956051543354988,0.011978199676588608,4,3,128,25,0.23794367406548494,0.0001855391853824324,5.580790015335905e-06,swish,32
64,0.016163421794772148,12,0.016163421794772148,0.007241438142955303,-0.00497325649484992,0.011978199676588608,4,3,384,25,0.22235856507374713,0.0024461974066982695,0.0012580107721692085,swish,32
47,0.016754845157265663,12,0.016754845157265663,0.0078887939453125,-0.003335654502734542,0.005989099838294304,4,3,512,25,0.1327798253739311,0.0013799172626600901,0.0005664096459306706,swish,32
36,0.017215555533766747,15,0.017215555533766747,0.010089145042002201,0.0016116081969812512,0.011978199676588608,4,4,320,21,0.19585976757054577,0.0006729617916899277,7.462366724386915e-06,elu,32
11,0.017373666167259216,29,0.017373666167259216,0.009480546228587627,-0.003892739536240697,0.005989099838294304,3,3,512,25,0.3473191653549228,0.009716004715546145,2.3388307304622642e-06,relu,128
40,0.017583444714546204,15,0.017583444714546204,0.009317172691226006,-0.0003669643774628639,0.011978199676588608,3,4,384,21,0.14735779090026618,0.0007745996498713056,2.022819114172867e-06,swish,32
76,0.018887946382164955,10,0.018887946382164955,0.010020467452704906,0.0009552614064887166,0.005989099838294304,4,3,256,21,0.14284883488401512,0.004073404340413061,0.0007215424830503704,swish,32
54,0.019006069749593735,14,0.019006069749593735,0.009848657064139843,-0.004838920664042234,0.017967299514882913,4,4,512,25,0.09475735152341738,0.0012926136556924202,3.3461138514916797e-06,swish,32
31,0.019060198217630386,22,0.019060198217630386,0.01078091375529766,-0.004361715167760849,0.0,3,2,320,21,0.1646278412071937,0.00026254659813676554,4.049481301951133e-06,swish,32
37,0.019230825826525688,19,0.019230825826525688,0.01084387581795454,-0.002982207341119647,0.005989099838294304,2,2,192,21,0.17081643844191546,0.002686349764251487,7.855804188040007e-05,swish,32
30,0.0197608545422554,23,0.0197608545422554,0.011792856268584728,0.0012570557883009315,0.005989099838294304,2,2,192,21,0.15930503675304553,0.0005849799122552743,2.046812019578841e-06,swish,32
43,0.02042110078036785,22,0.02042110078036785,0.012000953778624535,-0.004074897617101669,0.005989099838294304,4,3,256,15,0.28544805743857027,0.00024148000859351565,0.0047819859205532585,swish,32
34,0.02050139755010605,18,0.02050139755010605,0.010401482693850994,-0.003583383746445179,0.011978199676588608,4,2,256,15,0.11048885584109114,0.0011272580350349677,0.0018958658806089313,elu,32
12,0.020597783848643303,21,0.020597783848643303,0.011554340831935406,-0.004109563305974007,0.029945499191471523,3,2,576,25,0.3484166343636931,0.0005090873160060656,1.5593485602134632e-05,relu,64
8,0.020804664120078087,25,0.020804664120078087,0.012065866962075233,0.00047530181473121047,0.0,3,3,448,11,0.1402634929450309,0.00037126241790405324,2.6691294054368943e-06,relu,64
46,0.02088484726846218,17,0.02088484726846218,0.012800183147192001,0.0026444580871611834,0.005989099838294304,3,2,320,21,0.15073147271476448,0.00041728182858936203,2.648329222062779e-06,elu,32
65,0.02094665728509426,13,0.02094665728509426,0.011628709733486176,0.0034307348541915417,0.011978199676588608,4,3,448,25,0.16138072655244734,0.003030012004626384,0.0035001470869826553,swish,32
51,0.02145697921514511,13,0.02145697921514511,0.010247115977108479,-0.006396451033651829,0.011978199676588608,4,3,512,25,0.12247389149692617,0.0010137555931128816,0.0009974957481947793,swish,32
32,0.021488524973392487,13,0.021488524973392487,0.012699995189905167,0.0021944534964859486,0.005989099838294304,3,2,384,21,0.18271380326981077,0.0002742891794619259,1.0722598525466883e-05,swish,32
53,0.021735668182373047,15,0.021735668182373047,0.011295784264802933,-0.0028970788698643446,0.0,4,3,640,25,0.15202905704056785,0.0002324125795742465,0.0005788468781303543,swish,32
19,0.02187277190387249,19,0.02187277190387249,0.012390914373099804,0.002435860922560096,0.011978199676588608,4,2,256,21,0.23220849881923356,0.00022283575187473468,3.642025105644147e-05,swish,32
15,0.021955369040369987,16,0.021955369040369987,0.012548292987048626,0.0014253543922677636,0.005989099838294304,3,2,576,25,0.24212835754298723,0.0006540964134113417,9.439939645310207e-05,relu,64
24,0.022156985476613045,14,0.022156985476613045,0.01037495955824852,0.009287475608289242,0.0,4,2,192,25,0.18043866966718455,0.0008450102059440333,1.0213855395956731e-05,swish,32
52,0.02280539646744728,10,0.02280539646744728,0.012964527122676373,0.002985292114317417,0.0,4,3,448,25,0.12876024527704094,0.0015466060750965575,0.00039914871527465417,swish,32
66,0.0229591503739357,7,0.0229591503739357,0.014481932856142521,-0.00024800305254757404,0.0,4,3,640,21,0.19768728001036442,0.0046076432041770345,0.00015841418150754652,relu,32
56,0.02320125140249729,16,0.02320125140249729,0.013377675786614418,0.003901103278622031,0.023956399353177216,3,2,320,25,0.2745044174552273,0.006911118249410032,0.0016800995876109697,relu,32
71,0.024451246485114098,20,0.024451246485114098,0.01452811248600483,0.0049092452973127365,0.017967299514882913,4,1,320,25,0.18738502313484035,0.004245152232725111,0.0029760240574936356,swish,128
72,0.024659521877765656,20,0.024659521877765656,0.014950438402593136,0.0013557443162426353,0.05390189854464874,4,1,192,25,0.18590696722937955,0.0030701171771677425,0.001460433712111895,swish,128
7,0.02504410594701767,15,0.02504410594701767,0.014385297894477844,-0.002780727343633771,0.005989099838294304,3,4,960,25,0.2954044297767479,0.005265761277157428,2.1118006447731506e-06,relu,128
35,0.025058262050151825,14,0.025058262050151825,0.016743458807468414,-0.0018635124433785677,0.005989099838294304,3,3,448,11,0.14106629973719104,0.0003853807729104608,3.472371105282761e-06,swish,32
0,0.025874432176351547,36,0.025874432176351547,0.015581014566123486,0.0023267469368875027,0.06588009822123735,2,4,768,11,0.3098528437324805,0.0015930522616241021,0.0005093521419362401,elu,256
5,0.027470670640468597,26,0.027470670640468597,0.01731536164879799,0.0014730492839589715,0.0,2,3,704,11,0.27823551458506923,0.0013260331922696556,0.0008331634733107854,elu,256
4,0.02853669598698616,22,0.02853669598698616,0.017385853454470634,0.003745918394997716,0.0,1,4,832,21,0.26870215041229617,0.0034877126245459306,3.569679952400554e-06,swish,32
68,0.028732789680361748,6,0.028732789680361748,0.017113881185650826,-0.004685448482632637,0.05390189854464874,4,2,256,25,0.21242733513829945,0.008170992156901178,0.002202638583236245,swish,32
29,0.02907595783472061,18,0.02907595783472061,0.016747817397117615,0.006800307426601648,0.10780379708929748,2,1,320,21,0.11835710113141693,0.0017727354347922002,1.0732872364680867e-05,swish,32
13,0.03253111615777016,15,0.03253111615777016,0.020145069807767868,-0.005393830128014088,0.0,4,2,576,25,0.34574848359006566,0.0009024292701555825,1.8100726820582093e-05,relu,128
1,0.03544331714510918,15,0.03544331714510918,0.01991713047027588,0.013511782512068748,0.0,3,2,384,11,0.18682099526511076,0.0037183641805732083,9.539146722066813e-06,elu,256
39,0.03581787273287773,10,0.03581787273287773,0.022975793108344078,0.006646402645856142,0.011978199676588608,4,1,832,11,0.07912273156339315,0.00029844204590169304,2.905404769724999e-06,elu,32
3,0.03594955801963806,6,0.03594955801963806,0.022543838247656822,0.0025853400584310293,0.059890998382943046,4,4,960,15,0.06356818667316143,0.0004473636174621269,4.1853531516021084e-05,elu,256
2,0.04357433691620827,19,0.04357433691620827,0.028006941080093384,0.006380943115800619,0.04791279870635443,4,4,384,15,0.19855307303338104,0.00011715937392307068,0.002459496283204652,elu,256
9,0.04406582564115524,4,0.04406582564115524,0.029487961903214455,0.0026117274537682533,0.04192369886806013,2,4,320,15,0.16033493981577596,0.0018391267498289018,0.00028426667293593894,swish,256
6,0.04954831302165985,10,0.04954831302165985,0.032334376126527786,0.004702839534729719,0.34736779062106965,2,3,960,21,0.0730939729486379,0.0003797544798678418,7.060740621969176e-06,relu,256
