n_components,variance_retained,best_iteration,nmad,mae,bias,eta_outliers_0.05,eta_outliers_0.15,train_time_s
300,0.7433916330337524,3854,0.028518205508589745,0.04102669283747673,0.002061335602775216,9.418113322812198,0.005090872066384972,119.57473540306091
500,0.8266004323959351,6802,0.02566959522664547,0.03798834607005119,0.002197833964601159,7.804306877768162,0.0,572.1146624088287
800,0.8792399764060974,8059,0.02501416765153408,0.03699115663766861,0.001865576021373272,7.386855368324594,0.0,1462.836564540863
1200,0.9150155186653137,8035,0.025262102484703064,0.03723709285259247,0.0019393408438190818,7.320674031461589,0.0,2500.8975701332092
1912,0.9489034414291382,7149,0.02524016983807087,0.03741049766540527,0.001772420248016715,7.621035483378302,0.005090872066384972,3747.2338354587555
