trial,score,best_epoch,val_mae,val_sigma,val_bias,val_eta_15,n_conv_blocks,n_dense_layers,n_units,kernel_size,dropout_rate,learning_rate,weight_decay,activation,batch_size,use_batchnorm,dropout_schedule,optimizer,taper_last_block
72,0.0038343393243849277,76,0.0038343393243849277,0.0015563660999760032,-8.542955765733495e-05,0.005989099838294304,4,4,576,25,0.06536136395989106,0.0014332932063262501,0.002394015734817799,elu,128,True,ramp,adamw,True
52,0.0038720944430679083,71,0.0038720944430679083,0.0015058504650369287,0.00034507911186665297,0.0,4,4,512,25,0.05365587421417346,0.0012658537403550203,0.003072737216319339,elu,128,True,ramp,adamw,True
67,0.004078799393028021,78,0.004078799393028021,0.0017873761244118214,0.0001642166607780382,0.0,4,4,576,25,0.06246423390529833,0.0013139227650296582,0.002370015606789612,swish,128,True,ramp,adamw,True
48,0.004131663590669632,80,0.004131663590669632,0.0015954930568113923,-1.2939737644046545e-05,0.0,4,3,512,25,0.07825247214453884,0.0008818267130000053,0.00479995467685175,elu,128,True,ramp,adamw,True
55,0.0042418222874403,69,0.0042418222874403,0.001696367864497006,0.0002691649133339524,0.0,4,4,512,25,0.10387815773763279,0.0009666373334644655,0.003455471889260021,elu,128,True,ramp,adamw,True
62,0.004318826831877232,72,0.004318826831877232,0.0016370639204978943,0.0006788928294554353,0.0,4,4,512,25,0.12136002355052876,0.0009462034934251127,0.0036601073324264988,elu,128,True,ramp,adamw,True
53,0.004347783047705889,78,0.004347783047705889,0.0017368319677188993,0.0005700822803191841,0.0,4,4,640,25,0.055225006539796374,0.00123136714013482,0.002808793427361212,elu,128,True,ramp,adamw,True
57,0.004405751824378967,79,0.004405751824378967,0.001772018033079803,0.00015817754319868982,0.0,4,4,640,25,0.08825166359201742,0.001009325308914122,0.002952816670974452,elu,128,True,ramp,adamw,True
66,0.004445017781108618,56,0.004445017781108618,0.0017760854680091143,7.31866603018716e-05,0.0,4,4,576,25,0.0656711172124,0.0013288489471842584,0.0023930354063388913,elu,128,True,ramp,adamw,True
60,0.004495867993682623,69,0.004495867993682623,0.0019123652018606663,-8.917857485357672e-05,0.0,4,4,512,25,0.09523448634902656,0.0008274442463547501,0.0015292258712393877,elu,128,True,ramp,adamw,True
54,0.0045003751292824745,72,0.0045003751292824745,0.0017245823983103037,-1.8749148011920624e-06,0.0,4,4,512,25,0.08322348649751729,0.0011858291056414023,0.0029706655224215318,elu,128,True,ramp,adamw,True
49,0.004500513430684805,77,0.004500513430684805,0.0018777578370645642,0.00012335716746747494,0.0,4,4,576,25,0.0737899203415093,0.0009680358962352802,0.003118406842439806,elu,128,True,ramp,adamw,True
63,0.004996153526008129,80,0.004996153526008129,0.002157615963369608,0.00024250212300103158,0.0,4,4,448,25,0.12450733198484767,0.0007598505377161759,0.004075041362547699,elu,128,True,ramp,adamw,True
22,0.006256654858589172,73,0.006256654858589172,0.0028360059950500727,-0.00020865615806542337,0.0,4,3,320,21,0.17864252662686475,0.00045724502182229875,0.00016119004407717327,relu,64,True,ramp,adam,True
38,0.006285523530095816,45,0.006285523530095816,0.0027579008601605892,3.588310573832132e-05,0.005989099838294304,4,4,832,21,0.2865313762193611,0.0015239317037056112,0.0025301543062916008,elu,64,True,flat,adam,True
30,0.006433312781155109,46,0.006433312781155109,0.0027212025597691536,0.00030956469709053636,0.0,4,3,192,21,0.05185962918814621,0.0015145270343269069,0.0001279350593932149,elu,64,True,flat,adam,True
21,0.006434993352741003,78,0.006434993352741003,0.00277352100238204,0.0006142441998235881,0.0,4,3,320,21,0.1954456702065626,0.00033805078417298756,0.0002189295971747726,relu,64,True,flat,adam,True
34,0.006513333413749933,52,0.006513333413749933,0.0027198672760277987,0.000152372638694942,0.0,4,3,256,21,0.2135073232905977,0.0027053530763852178,0.0006413004466733259,elu,64,True,flat,adam,True
23,0.006523383315652609,79,0.006523383315652609,0.002986261388286948,-0.0008598310523666441,0.005989099838294304,4,3,320,21,0.1776730634818948,0.00047563364627666873,0.00017326186377202295,relu,64,True,flat,adam,True
26,0.006582123693078756,46,0.006582123693078756,0.002869740128517151,-0.0004471683641895652,0.005989099838294304,4,2,320,21,0.12892526898577522,0.0010461130585077566,0.00020805667211909736,relu,64,True,flat,adam,True
12,0.006654314696788788,58,0.006654314696788788,0.002765166573226452,0.0013046340318396688,0.011978199676588608,4,3,384,21,0.1814390502473403,0.0004129031542749147,9.760117527809141e-05,relu,32,True,ramp,adam,False
44,0.00688121747225523,78,0.00688121747225523,0.0034790358040481806,0.00014270542305894196,0.011978199676588608,4,4,1024,21,0.28740017508722404,0.002370399347823196,0.0005454500648947959,elu,64,True,flat,adam,True
15,0.006993037182837725,73,0.006993037182837725,0.003097220091149211,0.0005528379115276039,0.023956399353177216,4,3,384,21,0.21422618631250134,0.0002349556174029968,0.000381814961510481,relu,32,True,ramp,adam,True
70,0.007222982123494148,79,0.007222982123494148,0.0034293709322810173,0.0004410996625665575,0.0,3,4,448,25,0.0688026668188893,0.0009566064989554463,0.0011288568561108833,swish,128,True,ramp,adamw,True
0,0.0073341019451618195,77,0.0073341019451618195,0.0033575459383428097,0.00030161775066517293,0.0,4,3,256,21,0.2,0.0003,0.0001,relu,64,True,flat,adam,True
13,0.007468292955309153,42,0.007468292955309153,0.003267659805715084,-9.745600254973397e-05,0.035934599029765826,4,2,448,21,0.21400456134666712,0.0011736227812403316,0.00020398246344693663,relu,32,True,ramp,adam,True
14,0.007712433580309153,75,0.007712433580309153,0.003449070267379284,6.277236388996243e-05,0.005989099838294304,4,2,640,25,0.16573880203771746,0.00045847274621430494,7.003023395852949e-05,relu,64,False,flat,adam,False
32,0.007963388226926327,54,0.007963388226926327,0.0034126373939216137,-0.0004274612874723971,0.017967299514882913,4,3,320,21,0.05177158394543939,0.00030817419922103635,0.00016330385369844197,elu,64,True,flat,adam,True
43,0.008318711072206497,57,0.008318711072206497,0.0037299811374396086,-0.001812519272789359,0.029945499191471523,4,3,192,21,0.26441595801022744,0.0018601874500542145,0.0013155051070434366,elu,64,True,flat,adam,True
24,0.00842982903122902,60,0.00842982903122902,0.004144912585616112,-4.121810707147233e-05,0.005989099838294304,3,3,256,21,0.09897726878575093,0.0005464921778635323,0.0002134624639215342,relu,64,True,flat,adam,True
47,0.009319290518760681,71,0.009319290518760681,0.004702410195022821,0.000609389622695744,0.005989099838294304,3,2,320,21,0.14884543979580517,0.0025696094039813866,0.0015228045097815742,swish,64,True,flat,adam,True
31,0.009921391494572163,33,0.009921391494572163,0.004854398313909769,-0.001762129133567214,0.023956399353177216,4,2,192,21,0.062156576984741904,0.0015178846104807581,0.0001061643595646525,elu,64,True,flat,adam,True
39,0.010663921944797039,68,0.010663921944797039,0.005864706821739674,0.0005158610874786973,0.0,4,4,768,15,0.294121503671658,0.00139125965186345,0.002058445910434025,elu,64,True,flat,adamw,True
11,0.010758073069155216,56,0.010758073069155216,0.006388540379703045,-0.00022599966905545443,0.005989099838294304,3,3,128,21,0.16184586192010247,0.000391334743391237,6.315384872997928e-05,relu,32,True,ramp,adamw,False
33,0.012895617634057999,51,0.012895617634057999,0.008865142241120338,0.002388917375355959,0.005989099838294304,4,3,128,21,0.11623074063191668,0.0008739256616078394,9.011987698150567e-05,elu,64,True,flat,adam,True
18,0.013313212431967258,31,0.013313212431967258,0.006510785780847073,-0.000570218893699348,0.07186919805953165,4,3,512,25,0.1840321188249346,0.0010978477858368185,0.0013145669992227198,relu,32,False,ramp,adam,True
4,0.014493339695036411,45,0.014493339695036411,0.006737701594829559,-0.004598537459969521,0.011978199676588608,3,4,192,21,0.14926940745579476,0.00012413189635294234,2.278920990647052e-05,elu,32,True,ramp,adamw,False
37,0.014534465037286282,74,0.014534465037286282,0.00839198473840952,0.0010185798164457083,0.011978199676588608,3,4,448,11,0.23305825256229828,0.002240970131692359,0.0007993230959355839,elu,128,False,flat,adamw,True
7,0.014636131003499031,78,0.014636131003499031,0.008185350336134434,-0.0016686803428456187,0.011978199676588608,4,1,256,15,0.2784858845986153,0.00022439825075297042,0.0005963008955406138,swish,128,True,flat,adam,False
28,0.014837843365967274,14,0.014837843365967274,0.008294275961816311,0.0004889952833764255,0.011978199676588608,4,4,192,25,0.1800623885961581,0.0008170149826479203,0.0008738190413704679,relu,64,True,flat,adam,True
16,0.015926843509078026,57,0.015926843509078026,0.00896009337157011,-0.0006874099490232766,0.04192369886806013,2,3,384,21,0.13143216422743006,0.0001833105863281882,0.0009073667861389896,relu,32,True,ramp,adam,True
17,0.016156023368239403,16,0.016156023368239403,0.00646230997517705,-0.006137944757938385,0.017967299514882913,3,2,704,21,0.23113163271392448,0.0006240502232124357,0.00034221371385954885,relu,32,True,ramp,adam,False
1,0.018414301797747612,74,0.018414301797747612,0.010057472623884678,0.004568243399262428,0.011978199676588608,2,4,768,11,0.3098528437324805,0.0007725378389307352,0.0005093521419362401,elu,256,True,flat,adam,False
